url_vecchio,tipo,titolo,data_pubblicazione,esito_oggi,dove_atterra_oggi
https://www.elbrenz.eu/2017/04/archeologia-numismatica-val-sole-nuova-pubblicazione-del-centro-studi-la-val-sole/archeologia-e-numismatica/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/04/buon-compleanno-maria-teresa-revo-casa-campia-12-maggio-2017/maria-teresa/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/04/el-brenz-etno-festival-delletnografia-del-trentino-v-edizione/16festivaletnografia2017newa/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/04/el-brenz-etno-festival-delletnografia-del-trentino-v-edizione/etnodepliant/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/04/el-brenz-etno-festival-delletnografia-del-trentino-v-edizione/etnodepliantweb/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/08/os-dal-nos-2017-edizione-epica/bob-thomas/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/08/os-dal-nos-2017-edizione-epica/con-le-piccole/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/08/os-dal-nos-2017-edizione-epica/dolores-keller/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/08/os-dal-nos-2017-edizione-epica/el-cola/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/08/os-dal-nos-2017-edizione-epica/ernesto-paternoster/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/08/os-dal-nos-2017-edizione-epica/ettore/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/08/os-dal-nos-2017-edizione-epica/fausto-ceschi/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/08/os-dal-nos-2017-edizione-epica/felix-3/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/08/os-dal-nos-2017-edizione-epica/felix-bob-e-thomas/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/08/os-dal-nos-2017-edizione-epica/giordano-cova/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/08/os-dal-nos-2017-edizione-epica/pol-3/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/08/os-dal-nos-2017-edizione-epica/pol-4/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/08/os-dal-nos-2017-edizione-epica/pol-5/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/08/os-dal-nos-2017-edizione-epica/pol-bertagnolli/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/08/os-dal-nos-2017-edizione-epica/pol/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2017/11/os-dal-brenz-riviviamo-lemozione/os-dal-brenz-2017/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2018/03/fioi-dal-nos-denno-val-non/copertina-fioi-dal-nos-2/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2018/03/fioi-dal-nos-denno-val-non/paolo-antonioni-2/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2018/06/os-dal-nos-2018-5-edizione/immagine-2/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2018/06/os-dal-nos-2018-5-edizione/immagine/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2018/07/siete-pronti-meno-7-giorni-al-grande-evento-os-dal-nos-2018/are-you-ready-we-are/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2018/08/os-dal-nos-2018-pura-magia/axmk0767/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2018/08/os-dal-nos-2018-pura-magia/dzis8940/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2018/08/os-dal-nos-2018-pura-magia/eerk3716/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2018/08/os-dal-nos-2018-pura-magia/hwea3034/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2018/11/lunari-dal-nos-2019-imminente-uscita/lunari-da-nos-copertina/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/2018/11/lunari-dal-nos-2019-imminente-uscita/lunari-dal-nos-ultima-pagina/,allegato,,,200,/archivio-storico
https://www.elbrenz.eu/download/3091/,allegato,,,404,
https://www.elbrenz.eu/2013/04/27/,archivio-data,,2013-04,200,/archivio-storico
https://www.elbrenz.eu/2013/05/03/,archivio-data,,2013-05,200,/archivio-storico
https://www.elbrenz.eu/2013/05/05/,archivio-data,,2013-05,200,/archivio-storico
https://www.elbrenz.eu/2013/05/06/,archivio-data,,2013-05,200,/archivio-storico
https://www.elbrenz.eu/2013/05/08/,archivio-data,,2013-05,200,/archivio-storico
https://www.elbrenz.eu/2013/05/12/,archivio-data,,2013-05,200,/archivio-storico
https://www.elbrenz.eu/2013/05/14/,archivio-data,,2013-05,200,/archivio-storico
https://www.elbrenz.eu/2013/05/20/,archivio-data,,2013-05,200,/archivio-storico
https://www.elbrenz.eu/2013/05/22/,archivio-data,,2013-05,200,/archivio-storico
https://www.elbrenz.eu/2013/05/24/,archivio-data,,2013-05,200,/archivio-storico
https://www.elbrenz.eu/2013/05/25/,archivio-data,,2013-05,200,/archivio-storico
https://www.elbrenz.eu/2013/05/29/,archivio-data,,2013-05,200,/archivio-storico
https://www.elbrenz.eu/2013/05/30/,archivio-data,,2013-05,200,/archivio-storico
https://www.elbrenz.eu/2013/06/02/,archivio-data,,2013-06,200,/archivio-storico
https://www.elbrenz.eu/2013/06/03/,archivio-data,,2013-06,200,/archivio-storico
https://www.elbrenz.eu/2013/06/05/,archivio-data,,2013-06,200,/archivio-storico
https://www.elbrenz.eu/2013/06/06/,archivio-data,,2013-06,200,/archivio-storico
https://www.elbrenz.eu/2013/06/07/,archivio-data,,2013-06,200,/archivio-storico
https://www.elbrenz.eu/2013/06/12/,archivio-data,,2013-06,200,/archivio-storico
https://www.elbrenz.eu/2013/06/17/,archivio-data,,2013-06,200,/archivio-storico
https://www.elbrenz.eu/2013/06/18/,archivio-data,,2013-06,200,/archivio-storico
https://www.elbrenz.eu/2013/06/21/,archivio-data,,2013-06,200,/archivio-storico
https://www.elbrenz.eu/2013/06/28/,archivio-data,,2013-06,200,/archivio-storico
https://www.elbrenz.eu/2013/06/30/,archivio-data,,2013-06,200,/archivio-storico
https://www.elbrenz.eu/2013/07/18/,archivio-data,,2013-07,200,/archivio-storico
https://www.elbrenz.eu/2013/08/30/,archivio-data,,2013-08,200,/archivio-storico
https://www.elbrenz.eu/2013/09/02/,archivio-data,,2013-09,200,/archivio-storico
https://www.elbrenz.eu/2013/09/03/,archivio-data,,2013-09,200,/archivio-storico
https://www.elbrenz.eu/2013/09/04/,archivio-data,,2013-09,200,/archivio-storico
https://www.elbrenz.eu/2013/09/06/,archivio-data,,2013-09,200,/archivio-storico
https://www.elbrenz.eu/2013/09/09/,archivio-data,,2013-09,200,/archivio-storico
https://www.elbrenz.eu/2013/09/10/,archivio-data,,2013-09,200,/archivio-storico
https://www.elbrenz.eu/2013/09/12/,archivio-data,,2013-09,200,/archivio-storico
